12.51564456,0
12.51564456,5.250596659
12.51564456,10.50119332
12.51564456,15.75178998
12.51564456,21.00238663
12.51564456,26.25298329
12.51564456,31.50357995
12.51564456,36.75417661
12.51564456,42.00477327
12.51564456,47.25536993
12.51564456,52.50596659
12.51564456,57.75656325
12.51564456,63.0071599
12.51564456,68.25775656
12.51564456,73.50835322
12.51564456,78.75894988
0,84.00954654
0,89.2601432
0,94.51073986
12.51564456,99.76133652
0,105.0119332
0,110.2625298
0,115.5131265
0,120.7637232
0,126.0143198
0,131.2649165
0,136.5155131
0,141.7661098
0,147.0167064
0,152.2673031
12.51564456,157.5178998
12.51564456,162.7684964
12.51564456,168.0190931
25.03128911,173.2696897
37.54693367,178.5202864
50.06257822,183.7708831
62.57822278,189.0214797
62.57822278,194.2720764
75.09386733,199.522673
62.57822278,204.7732697
50.06257822,210.0238663
37.54693367,215.274463
25.03128911,220.5250597
12.51564456,225.7756563
0,231.026253
-12.51564456,236.2768496
-25.03128911,241.5274463
-25.03128911,246.778043
-25.03128911,252.0286396
-25.03128911,257.2792363
-37.54693367,262.5298329
-37.54693367,267.7804296
-37.54693367,273.0310263
-37.54693367,278.2816229
-37.54693367,283.5322196
-37.54693367,288.7828162
-50.06257822,294.0334129
-50.06257822,299.2840095
-50.06257822,304.5346062
-50.06257822,309.7852029
-12.51564456,315.0357995
50.06257822,320.2863962
112.640801,325.5369928
150.1877347,330.7875895
200.2503129,336.0381862
237.7972466,341.2887828
212.7659574,346.5393795
175.2190238,351.7899761
112.640801,357.0405728
75.09386733,362.2911695
37.54693367,367.5417661
0,372.7923628
-37.54693367,378.0429594
-37.54693367,383.2935561
-25.03128911,388.5441527
-12.51564456,393.7947494
0,399.0453461
0,404.2959427
0,409.5465394
0,414.797136
0,420.0477327
0,425.2983294
0,430.548926
0,435.7995227
0,441.0501193
0,446.300716
0,451.5513126
0,456.8019093
0,462.052506
0,467.3031026
12.51564456,472.5536993
12.51564456,477.8042959
12.51564456,483.0548926
25.03128911,488.3054893
12.51564456,493.5560859
12.51564456,498.8066826
12.51564456,504.0572792
12.51564456,509.3078759
12.51564456,514.5584726
25.03128911,519.8090692
25.03128911,525.0596659
25.03128911,530.3102625
25.03128911,535.5608592
37.54693367,540.8114558
50.06257822,546.0620525
50.06257822,551.3126492
62.57822278,556.5632458
75.09386733,561.8138425
87.60951189,567.0644391
87.60951189,572.3150358
100.1251564,577.5656325
112.640801,582.8162291
112.640801,588.0668258
125.1564456,593.3174224
125.1564456,598.5680191
125.1564456,603.8186158
112.640801,609.0692124
112.640801,614.3198091
