time,ecg
0,-154.6391753
5.427974948,-128.8659794
10.8559499,-128.8659794
16.28392484,-103.0927835
21.71189979,-77.31958763
27.13987474,-77.31958763
32.56784969,-51.54639175
37.99582463,-77.31958763
43.42379958,-77.31958763
48.85177453,-77.31958763
54.27974948,-51.54639175
59.70772443,-51.54639175
65.13569937,-51.54639175
70.56367432,0
75.99164927,0
81.41962422,25.77319588
86.84759916,51.54639175
92.27557411,77.31958763
97.70354906,103.0927835
103.131524,103.0927835
108.559499,154.6391753
113.9874739,180.4123711
119.4154489,206.185567
124.8434238,257.7319588
130.2713987,386.5979381
135.6993737,386.5979381
141.1273486,438.1443299
146.5553236,489.6907216
151.9832985,567.0103093
157.4112735,618.556701
162.8392484,644.3298969
168.2672234,695.8762887
173.6951983,721.6494845
179.1231733,747.4226804
184.5511482,747.4226804
189.9791232,747.4226804
195.4070981,721.6494845
200.8350731,644.3298969
206.263048,592.7835052
211.691023,567.0103093
217.1189979,463.9175258
222.5469729,386.5979381
227.9749478,335.0515464
233.4029228,257.7319588
238.8308977,180.4123711
244.2588727,128.8659794
249.6868476,103.0927835
255.1148225,51.54639175
260.5427975,0
265.9707724,-25.77319588
271.3987474,-51.54639175
276.8267223,-77.31958763
282.2546973,-103.0927835
287.6826722,-128.8659794
293.1106472,-128.8659794
298.5386221,-154.6391753
303.9665971,-154.6391753
309.394572,-154.6391753
314.822547,-180.4123711
320.2505219,-180.4123711
325.6784969,-180.4123711
331.1064718,-180.4123711
336.5344468,-180.4123711
341.9624217,-180.4123711
347.3903967,-180.4123711
352.8183716,-154.6391753
358.2463466,-154.6391753
363.6743215,-154.6391753
369.1022965,-128.8659794
374.5302714,-128.8659794
379.9582463,-128.8659794
385.3862213,-128.8659794
390.8141962,-103.0927835
396.2421712,-103.0927835
401.6701461,-77.31958763
407.0981211,-77.31958763
412.526096,-77.31958763
417.954071,-51.54639175
423.3820459,-77.31958763
428.8100209,-51.54639175
434.2379958,-51.54639175
439.6659708,-51.54639175
445.0939457,-25.77319588
450.5219207,-25.77319588
455.9498956,-25.77319588
461.3778706,-25.77319588
466.8058455,-25.77319588
472.2338205,-25.77319588
477.6617954,-25.77319588
483.0897704,0
488.5177453,0
493.9457203,0
499.3736952,0
504.8016701,0
510.2296451,0
515.65762,0
521.085595,0
526.5135699,0
531.9415449,25.77319588
537.3695198,25.77319588
542.7974948,25.77319588
548.2254697,25.77319588
553.6534447,25.77319588
559.0814196,25.77319588
564.5093946,25.77319588
569.9373695,25.77319588
575.3653445,25.77319588
580.7933194,25.77319588
586.2212944,51.54639175
591.6492693,77.31958763
597.0772443,77.31958763
602.5052192,103.0927835
607.9331942,77.31958763
613.3611691,77.31958763
618.7891441,51.54639175
624.217119,51.54639175
629.6450939,51.54639175
635.0730689,25.77319588
640.5010438,25.77319588
645.9290188,25.77319588
651.3569937,25.77319588
656.7849687,0
662.2129436,0
667.6409186,0
673.0688935,-25.77319588
678.4968685,-25.77319588
683.9248434,-51.54639175
689.3528184,-51.54639175
694.7807933,-51.54639175
700.2087683,-51.54639175
705.6367432,-51.54639175
711.0647182,-25.77319588
716.4926931,-25.77319588
721.9206681,0
727.348643,0
732.776618,25.77319588
738.2045929,154.6391753
743.6325678,335.0515464
749.0605428,438.1443299
754.4885177,876.2886598
759.9164927,1082.474227
765.3444676,1262.886598
770.7724426,1030.927835
776.2004175,747.4226804
781.6283925,309.2783505
787.0563674,-25.77319588
792.4843424,-257.7319588
797.9123173,-438.1443299
803.3402923,-412.371134
808.7682672,-360.8247423
814.1962422,-283.5051546
819.6242171,-180.4123711
825.0521921,-103.0927835
830.480167,-51.54639175
835.908142,25.77319588
841.3361169,51.54639175
846.7640919,77.31958763
852.1920668,103.0927835
857.6200418,103.0927835
863.0480167,128.8659794
868.4759916,128.8659794
873.9039666,154.6391753
879.3319415,154.6391753
884.7599165,154.6391753
890.1878914,180.4123711
895.6158664,180.4123711
901.0438413,180.4123711
906.4718163,206.185567
911.8997912,231.9587629
917.3277662,231.9587629
922.7557411,257.7319588
928.1837161,283.5051546
933.611691,283.5051546
939.039666,335.0515464
944.4676409,335.0515464
949.8956159,360.8247423
955.3235908,386.5979381
960.7515658,438.1443299
966.1795407,489.6907216
971.6075157,541.2371134
977.0354906,567.0103093
982.4634656,644.3298969
987.8914405,695.8762887
993.3194154,747.4226804
998.7473904,798.9690722
1004.175365,824.742268
1009.60334,850.5154639
1015.031315,876.2886598
1020.45929,902.0618557
1025.887265,902.0618557
1031.31524,876.2886598
1036.743215,850.5154639
1042.17119,798.9690722
1047.599165,747.4226804
1053.02714,670.1030928
1058.455115,592.7835052
1063.88309,515.4639175
1069.311065,463.9175258
1074.73904,386.5979381
1080.167015,309.2783505
1085.59499,257.7319588
1091.022965,206.185567
1096.450939,154.6391753
1101.878914,128.8659794
1107.306889,103.0927835
1112.734864,77.31958763
1118.162839,51.54639175
1123.590814,25.77319588
1129.018789,25.77319588
1134.446764,25.77319588
1139.874739,25.77319588
1145.302714,25.77319588
1150.730689,25.77319588
1156.158664,0
1161.586639,0
1167.014614,0
1172.442589,0
1177.870564,0
1183.298539,0
1188.726514,0
1194.154489,0
1199.582463,0
1205.010438,0
1210.438413,0
1215.866388,0
1221.294363,0
1226.722338,0
1232.150313,0
1237.578288,0
1243.006263,0
1248.434238,25.77319588
1253.862213,25.77319588
1259.290188,51.54639175
1264.718163,51.54639175
1270.146138,77.31958763
1275.574113,51.54639175
1281.002088,25.77319588
1286.430063,51.54639175
1291.858038,51.54639175
1297.286013,51.54639175
1302.713987,51.54639175
1308.141962,51.54639175
1313.569937,25.77319588
1318.997912,25.77319588
1324.425887,25.77319588
1329.853862,25.77319588
1335.281837,25.77319588
1340.709812,51.54639175
1346.137787,51.54639175
1351.565762,51.54639175
1356.993737,51.54639175
1362.421712,51.54639175
1367.849687,51.54639175
1373.277662,25.77319588
1378.705637,25.77319588
1384.133612,25.77319588
1389.561587,25.77319588
1394.989562,25.77319588
1400.417537,0
1405.845511,0
1411.273486,25.77319588
1416.701461,25.77319588
1422.129436,51.54639175
1427.557411,77.31958763
1432.985386,77.31958763
1438.413361,77.31958763
1443.841336,51.54639175
1449.269311,51.54639175
1454.697286,25.77319588
1460.125261,0
1465.553236,0
1470.981211,-25.77319588
1476.409186,-25.77319588
1481.837161,-25.77319588
1487.265136,-51.54639175
1492.693111,-51.54639175
1498.121086,-77.31958763
1503.549061,-77.31958763
1508.977035,-103.0927835
1514.40501,-103.0927835
1519.832985,-103.0927835
1525.26096,-77.31958763
1530.688935,-103.0927835
1536.11691,-103.0927835
1541.544885,-103.0927835
1546.97286,-103.0927835
1552.400835,-103.0927835
1557.82881,-103.0927835
1563.256785,-103.0927835
1568.68476,-25.77319588
1574.112735,103.0927835
1579.54071,309.2783505
1584.968685,644.3298969
1590.39666,876.2886598
1595.824635,1005.154639
1601.25261,1005.154639
1606.680585,773.1958763
1612.108559,489.6907216
1617.536534,77.31958763
1622.964509,-231.9587629
1628.392484,-438.1443299
1633.820459,-567.0103093
1639.248434,-515.4639175
1644.676409,-412.371134
1650.104384,-335.0515464
1655.532359,-257.7319588
1660.960334,-180.4123711
1666.388309,-103.0927835
1671.816284,-77.31958763
1677.244259,-25.77319588
1682.672234,-25.77319588
1688.100209,0
1693.528184,0
1698.956159,0
1704.384134,25.77319588
1709.812109,25.77319588
1715.240084,51.54639175
1720.668058,51.54639175
1726.096033,77.31958763
1731.524008,77.31958763
1736.951983,77.31958763
1742.379958,77.31958763
1747.807933,103.0927835
1753.235908,103.0927835
1758.663883,128.8659794
1764.091858,128.8659794
1769.519833,154.6391753
1774.947808,180.4123711
1780.375783,206.185567
1785.803758,257.7319588
1791.231733,283.5051546
1796.659708,335.0515464
1802.087683,386.5979381
1807.515658,438.1443299
1812.943633,489.6907216
1818.371608,541.2371134
1823.799582,567.0103093
1829.227557,618.556701
1834.655532,670.1030928
1840.083507,695.8762887
1845.511482,721.6494845
1850.939457,747.4226804
1856.367432,773.1958763
1861.795407,747.4226804
1867.223382,747.4226804
1872.651357,721.6494845
1878.079332,695.8762887
1883.507307,618.556701
1888.935282,567.0103093
1894.363257,489.6907216
1899.791232,412.371134
1905.219207,335.0515464
1910.647182,283.5051546
1916.075157,231.9587629
