ecg,time
0,0
0.000363268400034206,0.000465853881791727
0.00124246963461694,0.00172403546760887
0.00203028659184177,0.00306155847447469
0.002710545163225,0.00445100075564603
0.00328386043599046,0.00587233687079993
0.00376707020152346,0.00733157383223554
0.00417725170551429,0.00883581283006235
0.0045320923701553,0.0103939692452688
0.00485015171812164,0.0120166727550737
0.00515140437594755,0.0137160008690165
0.0054579902913555,0.0155046039035919
0.00579496013723997,0.0173933346369908
0.00604736676075877,0.0186966673184954
0.00632401864179979,0.02
0.00683297984932333,0.0220852179435728
0.00746079679657471,0.0242185270764974
0.00820875201386014,0.0263123215958529
0.00906803633937221,0.0283035442794526
0.0100263044338316,0.0301602017055009
0.0110744579164367,0.0318770765835751
0.0122464026861981,0.0335125026710114
0.013555445059086,0.035074831360768
0.0150144371794242,0.0365681682487669
0.0166386851140014,0.0379967738894565
0.0179351551660488,0.0389983869447282
0.01938312980609,0.04
0.0214809049114201,0.0412744790001381
0.0238336144304917,0.0425077004975365
0.0264537170061321,0.0436923757650221
0.0293723056742613,0.0448309959531335
0.0326252680812964,0.0459262173315038
0.0362533695819617,0.0469805809214931
0.0403029851138027,0.0479965296486581
0.0448269997347792,0.0489764291919863
0.0503337952305104,0.05
0.0560667299954117,0.0509145185261092
0.0624773995465935,0.0517975789419347
0.0696723583868669,0.0526536823392963
0.0777601666142427,0.0534850683215547
0.0868664896407465,0.0542938930135876
0.0971378210158998,0.0550822969088417
0.108745422368312,0.0558524072072847
0.121890016673461,0.0566063382237004
0.136807513953663,0.0573461979727833
0.153776434711648,0.0580741174093527
0.17312881620845,0.0587923407584544
0.191720882196701,0.0593961703792272
0.212740654521945,0.06
0.240869342949485,0.0607070700775086
0.273816101844386,0.0614243846385656
0.313241494784608,0.0621677103393266
0.358818901535023,0.0629156738010605
0.412140856933568,0.0636881601304716
0.454405368559165,0.0642504948024976
0.49848523783086,0.0648128294745236
0.537956646147225,0.0653142874930689
0.573040681447006,0.0657769104327006
0.604505114023437,0.066227274952647
0.632415957634763,0.066686616884168
0.656314046597431,0.0671807317283973
0.674934020942025,0.0677600712174295
0.683147454595812,0.0683975717968667
0.678579133495833,0.0690721815627434
0.668398471427267,0.0695360907813717
0.65320007390237,0.07
0.624404650439168,0.0706526751009339
0.585210755867844,0.0713516645123961
0.53158385071413,0.0721433974064164
0.457411280471914,0.073069655951272
0.396690500754912,0.0737395351370329
0.330973774141418,0.0744094143227939
0.275929572337372,0.0749460968902384
0.231437478775716,0.0753755930690351
0.193564668935822,0.0757463598389684
