QRS_duration,RR_interval,PQ_interval,QT_interval,file_name,,,,,,,,,
81.31,1072.47,54.49,344.94,55.95,cycle_ecg_b3_b1_0.00810.0098.csv,,,,,,,,
82.08,1073.83,53.32,346.63,55.87,cycle_ecg_b3_b1_0.00810.0099.csv,,,,,,,,
82.08,1073.83,53.32,346.63,55.87,cycle_ecg_b3_b1_0.00810.0099.csv,,,,,,,,
81.28,1076.99,51.85,347.03,55.71,cycle_ecg_b3_b1_0.00810.0101.csv,,,,,,,,
80.45,1078.48,52.62,344.64,55.63,cycle_ecg_b3_b1_0.00810.0102.csv,,,,,,,,
78.83,1080.04,53.63,345.27,55.55,cycle_ecg_b3_b1_0.00810.0103.csv,,,,,,,,
79.59,1081.49,52.48,346.09,55.48,cycle_ecg_b3_b1_0.00810.0104.csv,,,,,,,,
79.29,1083.08,50.61,345.75,55.4,cycle_ecg_b3_b1_0.00810.0105.csv,,,,,,,,
80.51,1084.6,49.09,347.2,55.32,cycle_ecg_b3_b1_0.00810.0106.csv,,,,,,,,
79.75,1086.12,49.83,345.99,55.24,cycle_ecg_b3_b1_0.00810.0107.csv,,,,,,,,
94.28,788.33,95.3,325.38,76.11,cycle_ecg_b2_b1_0.01200.0111.csv,,,,,,,,
93.44,792.41,94.73,326.07,75.72,cycle_ecg_b2_b1_0.01200.0112.csv,,,,,,,,
94.94,795.36,90.07,326.95,75.44,cycle_ecg_b2_b1_0.01200.0113.csv,,,,,,,,
94.55,796.7,86.79,325.52,75.31,cycle_ecg_b2_b1_0.01200.0114.csv,,,,,,,,
95.66,802.21,82.83,322.9,74.79,cycle_ecg_b2_b1_0.01200.0115.csv,,,,,,,,
94.96,805.48,71.95,301.64,74.49,cycle_ecg_b2_b1_0.01200.0116.csv,,,,,,,,
95.17,809.27,78.8,327.64,74.14,cycle_ecg_b2_b1_0.01200.0117.csv,,,,,,,,
94.77,811.59,76.5,326.33,73.93,cycle_ecg_b2_b1_0.01200.0118.csv,,,,,,,,
94.87,813.43,73.89,326.81,73.76,cycle_ecg_b2_b1_0.01200.0119.csv,,,,,,,,
94.72,815.11,71.2,327.71,73.61,cycle_ecg_b2_b1_0.01200.0120.csv,,,,,,,,
90.65,751.86,119.39,323.76,79.8,cycle_ecg_b2_b1_0.01110.0091.csv,,,,,,,,
89.55,764.27,118.01,301.61,78.51,cycle_ecg_b2_b1_0.01110.0095.csv,,,,,,,,
