ecg,time
0,0
0.000363279047659241,0.000466726865624193
0.00124128050946135,0.00172567813305484
0.00202792231277835,0.00306407622077079
0.00270701026019199,0.00445439348293106
0.00327921047393917,0.00587663931663663
0.00376136765799641,0.00733685477587911
0.00417055948024196,0.00884217888430694
0.00452446944311268,0.0104015715079936
0.00484165175814476,0.0120257176634767
0.00514207758245166,0.0137267659748618
0.00544788967722161,0.0155174574160775
0.00578415406232561,0.0174087507350612
0.00603419218856034,0.0187043753675306
0.00630809636669197,0.02
0.00681559048731057,0.0220881973979779
0.00744199810000466,0.0242255136314744
0.00818863262285451,0.0263237244943444
0.00904664186374258,0.0283192308502624
0.0100036039643862,0.0301797330258582
0.0110503737831366,0.031899960789927
0.0122198193026481,0.0335371354771655
0.0135259848910993,0.0351010437312777
0.0149817228835758,0.0365958592935025
0.016602304895969,0.0380258590097891
0.0178747160775803,0.0390129295048946
0.0192933161534413,0.04
0.0213800831309157,0.0412764350763906
0.0237212604156572,0.042512011504418
0.0263284833825389,0.0436989306818868
0.0292326428373678,0.0448396735118613
0.032469421990824,0.0459369010095645
0.0360793512537727,0.0469931584571764
0.0401085333600797,0.0480108922975354
0.0446095367890149,0.0489924711450653
0.0499856139436535,0.05
0.0556728505907214,0.0509160248679304
0.0620354080572615,0.0518009894364297
0.0691758603964504,0.0526588724690807
0.0772016272075496,0.0534918996548873
0.0862371476676203,0.0543022283542819
0.0964274669310489,0.0550920007992102
0.107942130713836,0.0558633461035152
0.12097982615055,0.05661838054431
0.135774031012181,0.0573592133893888
0.152600295605744,0.0580879738010572
0.17178683127792,0.0588068952798146
0.189965548381038,0.0594034476399073
0.21048639423628,0.06
0.238251854275508,0.0607068254729221
0.2707318338033,0.0614229897320788
0.309653938205233,0.0621659925642699
0.354657925570895,0.0629131747468246
0.407228542621052,0.0636824879234773
0.449869301485564,0.0642537790558967
0.494521238805371,0.0648250701883162
0.534485465177466,0.0653322732788246
0.569924051954401,0.0657973137201725
0.601705094020777,0.0662479972214702
0.629948531826439,0.0667056801111989
0.654245310055277,0.0671952300089761
0.673440406521341,0.0677629755307557
0.682828125507231,0.068398374142828
0.679508306995271,0.0690683936563335
0.670045896306588,0.0695341968281668
0.655439503604925,0.07
