time,ecg
15.6119344,0.005714562
15.61647244,0.006105066
15.62095069,0.006521235
15.62538326,0.006967643
15.62977778,0.007448735
15.63413836,0.007969091
15.63846548,0.008533435
15.64275666,0.00914675
15.64700741,0.00981446
15.65121372,0.01054321
15.6554578,0.011357293
15.65975181,0.012273693
15.66412485,0.013317205
15.6686391,0.014527381
15.67344121,0.015979797
15.67900389,0.017885761
15.68458312,0.020013197
15.68807766,0.021411683
15.69157219,0.022800495
15.69474511,0.023988383
15.69772422,0.024973067
15.70065348,0.025751759
15.70349749,0.026270315
15.70632397,0.026509921
15.70928873,0.026439026
15.71271683,0.02594449
15.7166317,0.024889971
15.71988143,0.023693071
15.72259591,0.022528751
15.72504852,0.021388082
15.72737776,0.020255988
15.72964385,0.019131611
15.73188012,0.018017973
15.73410844,0.016918963
15.73634481,0.015838534
15.73860178,0.01478047
15.74088986,0.013748284
15.74321822,0.012745201
15.74559525,0.011774135
15.74802883,0.010837684
15.75052665,0.009938129
15.75309639,0.009077429
15.75574588,0.008257226
15.75848326,0.007478834
15.76131716,0.006743256
15.76425683,0.006051181
15.76731235,0.005402988
15.77049478,0.004798769
15.77386387,0.004230815
15.77748589,0.003694176
15.78139103,0.003191761
15.78561503,0.002726135
15.79019905,0.002299594
15.79519005,0.001914098
15.80064118,0.001571176
15.80661092,0.001271861
15.81316202,0.001016563
15.82036366,0.00080485
15.82831179,0.000635101
15.83718811,0.000512103
15.84527091,0.000454273
15.85373765,0.00042306
15.86347603,0.000410967
15.87347603,0.000420142
15.88347603,0.000448402
15.89347603,0.000494931
15.90321176,0.000558854
15.91217847,0.000636734
15.92042347,0.000728373
15.92800975,0.000834647
15.93499538,0.000957077
15.94143355,0.001097651
15.94737312,0.001258768
15.95285922,0.001443238
15.95793363,0.001654325
15.96263522,0.00189581
15.96700036,0.002172073
15.97106328,0.002488218
15.97485654,0.002850241
15.9784116,0.003265275
15.98175955,0.003741951
15.98493222,0.004290984
15.98796404,0.00492617
15.99089555,0.005666279
15.99376362,0.00653344
15.99668385,0.007582983
15.9998493,0.008922186
16.00185785,0.009872357
16.00386639,0.01087846
16.00566697,0.01179823
16.00727735,0.012602112
16.00878699,0.013306202
16.01025168,0.013910128
16.01171512,0.014402367
16.01322433,0.014761046
16.01484881,0.014947494
16.01673999,0.014878593
16.01946202,0.014242854
16.02121742,0.01353234
16.02297282,0.012637447
16.02459113,0.011691823
16.02616846,0.010696845
16.02775281,0.009657774
16.02856456,0.009119227
16.0293763,0.00859096
16.03066666,0.007798815
16.03287544,0.006572368
16.03515803,0.005462186
16.03750763,0.004467716
16.03994419,0.003575198
16.04237089,0.002807169
16.04468181,0.002171447
16.04689946,0.001635983
16.04905478,0.001175079
16.05119068,0.000767465
16.05337971,0.000392613
16.05579999,2.04E-05
16.05797671,-0.00028295
16.06015343,-0.000561741
16.0619307,-0.000774165
16.0634975,-0.000951842
16.06501169,-0.001116208
16.06656891,-0.001278732
16.06828027,-0.001450804
16.07038105,-0.001654132
16.07444036,-0.002027641
16.07858189,-0.002388187
16.08238622,-0.002703569
16.08652649,-0.003027975
16.09136523,-0.003373982
16.09555404,-0.003632304
16.09931122,-0.003819424
16.10290797,-0.003949166
16.10657897,-0.004024086
16.11068449,-0.004033751
16.11472563,-0.003966253
16.11871309,-0.003828429
16.12246046,-0.003639617
16.12579876,-0.003427066
16.12896799,-0.00318907
16.13207255,-0.002922556
16.13516994,-0.002622823
16.13829911,-0.002282553
16.14149034,-0.001890491
16.1447695,-0.00142931
16.14795758,-0.000907973
16.15085767,-0.000351979
16.15354555,0.000253102
16.15609424,0.000926672
16.15860636,0.001704433
16.16126805,0.002666997
16.16417919,0.003884666
16.16674222,0.005080641
16.16930524,0.006362943
16.17217505,0.007878468
16.17430437,0.009067102
16.1764337,0.010337972
16.17825363,0.011524028
16.18001491,0.012796636
16.18166187,0.014136626
16.18326767,0.015624541
16.18481644,0.017274512
16.18631459,0.01912082
16.18776321,0.021194205
16.18915462,0.023511933
16.19049479,0.026111934
16.19178472,0.029027167
16.19302599,0.032294067
16.1942211,0.035955061
16.19537403,0.040062996
16.19648817,0.044677468
16.19756699,0.049868023
16.19861435,0.055718452
16.19963414,0.062328437
16.20063049,0.069818533
16.20160787,0.078336672
16.20257134,0.08806776
16.20352673,0.099247367
16.20448115,0.112183969
16.20544371,0.127296525
16.206427,0.14518239
16.20742994,0.166301836
16.20843916,0.190800575
16.20946717,0.219366881
16.21053247,0.252957996
16.2116676,0.29309108
16.21257956,0.328145564
16.21349151,0.364899824
16.21429212,0.397542572
16.21501218,0.42608443
16.21568771,0.451025986
16.21634377,0.472407731
16.21700162,0.489895851
16.21768438,0.502728545
16.21842437,0.509415522
16.21924416,0.507086795
16.2200794,0.49365754
16.2209452,0.467874213
16.22185265,0.428148843
16.2228109,0.372729313
16.22342614,0.33050396
16.22404138,0.283970158
16.2245613,0.242250114
16.22500052,0.206173143
16.22538968,0.174288055
16.22574746,0.145619827
16.2260856,0.119565965
16.22641271,0.095704104
16.22673655,0.073683867
16.22706622,0.053134857
16.22741754,0.033474924
16.22784287,0.012845832
16.228087,0.002551214
16.22827716,-0.004717176
16.22846731,-0.011356958
16.22865206,-0.017234403
16.22885957,-0.023199357
16.22908588,-0.028988385
16.22932843,-0.034429374
16.22960317,-0.039718083
16.22987502,-0.044131655
16.23016247,-0.048019913
16.23046719,-0.051383665
16.23079102,-0.054227016
16.23113627,-0.05655975
16.23150585,-0.058394766
16.23190331,-0.059746111
16.23233306,-0.060627376
16.23280055,-0.061050195
16.2333127,-0.061022641
16.23387838,-0.060547244
16.23451087,-0.05961556
16.23522721,-0.058205094
16.23605279,-0.056269891
16.23703022,-0.053715961
16.23825029,-0.050315629
16.23964836,-0.046303231
16.24099852,-0.042420698
16.24230641,-0.038719132
16.2435748,-0.035223114
16.24480483,-0.031944853
16.24599677,-0.028889392
16.24715048,-0.026056957
16.24826565,-0.023444237
16.24934188,-0.021045223
16.25037877,-0.018851843
16.2513759,-0.016854497
16.25233288,-0.015042531
16.25324927,-0.013404643
16.25417235,-0.011851294
16.25511916,-0.010358392
16.25609143,-0.008930238
16.25709131,-0.007570734
16.25812139,-0.006283576
16.25918469,-0.0050722
16.26028485,-0.003939731
16.26142629,-0.002888927
16.26261445,-0.001922121
16.26385609,-0.001041162
16.26515985,-0.00024735
16.26653694,0.000458656
16.26800244,0.001077019
16.26957734,0.001608627
16.27121523,0.002037819
16.27290405,0.002371837
16.27466222,0.002626525
16.27651237,0.002816363
16.27848508,0.002955098
16.28062443,0.003056253
16.28299995,0.003133945
16.28573733,0.003204631
16.28912959,0.003292776
16.29288825,0.003412023
16.29682317,0.003569313
16.30087982,0.003764174
16.30508932,0.003994755
16.30948329,0.004259119
16.31409482,0.00455745
16.3188736,0.004887211
16.32351209,0.005228463
16.32812609,0.005590813
16.33269041,0.005974997
16.33721939,0.006385111
16.34170691,0.006823834
16.34615818,0.007295144
16.35057471,0.007803107
16.35495142,0.00835155
16.35928114,0.008944562
16.36355817,0.00958725
16.36778052,0.010286075
16.37199802,0.011057845
16.3762632,0.011925081
16.38059341,0.012908654
16.3850381,0.014042124
16.38970119,0.015383244
16.3948675,0.017065624
16.40067149,0.019194934
16.404427,0.020675531
16.40818252,0.022180285
16.41150986,0.023468569
16.4145552,0.024542457
16.41748921,0.025415122
16.42037972,0.026056965
16.42319773,0.026423979
16.42607514,0.026500119
16.42922693,0.026222429
16.43327595,0.025340468
16.43671451,0.024197887
16.43962782,0.023014153
16.44216776,0.021867357
16.44453962,0.020733009
16.44682737,0.019605915
16.44907287,0.01848806
16.45130191,0.017383115
16.45353262,0.016295046
16.45577882,0.015227714
16.45805178,0.014184748
16.46036119,0.013169489
16.46271574,0.012184975
16.46512353,0.011233929
16.46759234,0.010318761
16.47012988,0.009441558
16.47274394,0.008604088
16.47544261,0.0078078
16.4782344,0.007053823
16.48112841,0.006342975
16.48413454,0.005675766
16.48726364,0.005052412
16.49053216,0.004472112
16.49404237,0.003921741
16.49782205,0.003404411
16.50190494,0.002922783
16.50632996,0.002479286
16.5111418,0.002076047
16.51639138,0.001714805
16.52213557,0.001396849
16.52843605,0.001122926
16.53535889,0.00089308
16.54298424,0.00070635
16.55144726,0.000572251
16.56032407,0.000498763
16.56814051,0.000465696
16.57765087,0.000449561
16.58765087,0.000456835
16.59765087,0.000485984
16.60765087,0.000536069
16.6169587,0.000602747
16.62551858,0.000683937
16.63339192,0.000779509
16.64063888,0.000890366
16.64731447,0.001018062
16.6534691,0.001164636
16.65914918,0.001332551
16.66439756,0.001524704
16.66925399,0.001744463
16.67375542,0.001995728
16.67793645,0.002283024
16.68182966,0.002611628
16.68546606,0.002987742
16.68887563,0.003418747
16.69208799,0.003913587
16.69513353,0.004483374
16.69804517,0.005142438
16.70086168,0.005910302
16.70358705,0.006798929
16.7063569,0.007870267
16.7093934,0.009252439
16.71135269,0.010252034
16.71331197,0.011313925
16.71507006,0.012288957
16.71663709,0.013141251
16.71810366,0.013889629
16.71952555,0.014534831
16.72094588,0.015065554
16.72241067,0.015459726
16.72398756,0.015678173
16.72582308,0.015637048
16.72847321,0.015020129
16.73019552,0.014303046
16.73191782,0.013391253
16.73350587,0.012423336
16.73505669,0.011400718
16.73661823,0.010329049
16.73742055,0.009771862
16.73822287,0.009219352
16.73891645,0.008759589
16.74108314,0.007435644
16.74332826,0.006230958
16.74562643,0.005156004
16.74799727,0.004194948
16.75046156,0.003334057
16.75284776,0.002615299
16.75517348,0.002007106
16.75749088,0.001477783
16.75989567,0.000996502
16.76266092,0.000513782
16.76478533,0.000185377
16.76690974,-0.000112621
16.76875013,-0.000350047
16.77041704,-0.000550974
16.7720484,-0.000736452
16.77374535,-0.000919308
16.77564088,-0.001113214
16.77805642,-0.001347217
16.78238705,-0.00173886
16.78636995,-0.002076093
16.78988898,-0.002360636
16.7937369,-0.002659341
16.79883134,-0.00303256
16.80379506,-0.003360579
16.80790989,-0.003591282
