-162.7033792,nan,nan
-175.2190238,50.06257822,0
-187.7346683,41.71881519,0
-200.2503129,33.37505215,0
-212.7659574,25.03128911,0
-100.1251564,25.03128911,0
12.51564456,12.51564456,0
12.51564456,12.51564456,0
0,12.51564456,0
0,12.51564456,0
0,12.51564456,0
0,12.51564456,0
0,12.51564456,0
0,12.51564456,12.51564456
0,12.51564456,12.51564456
0,0,12.51564456
0,0,12.51564456
0,12.51564456,12.51564456
-12.51564456,12.51564456,12.51564456
-25.03128911,12.51564456,12.51564456
-25.03128911,12.51564456,12.51564456
-12.51564456,25.03128911,0
-12.51564456,25.03128911,12.51564456
-12.51564456,12.51564456,0
-12.51564456,12.51564456,0
-12.51564456,12.51564456,0
-12.51564456,12.51564456,0
-12.51564456,12.51564456,0
-12.51564456,12.51564456,0
-12.51564456,12.51564456,0
-12.51564456,12.51564456,0
-12.51564456,12.51564456,0
0,12.51564456,0
0,12.51564456,-12.51564456
0,0,0
0,0,0
-12.51564456,0,0
-12.51564456,25.03128911,0
0,12.51564456,0
0,25.03128911,0
0,25.03128911,0
0,12.51564456,0
12.51564456,12.51564456,0
12.51564456,12.51564456,-12.51564456
0,12.51564456,-12.51564456
0,0,-12.51564456
0,0,0
0,0,-12.51564456
0,12.51564456,-12.51564456
0,12.51564456,-12.51564456
0,12.51564456,-12.51564456
0,0,-25.03128911
0,0,-25.03128911
0,0,-12.51564456
0,0,-12.51564456
0,0,-12.51564456
0,0,-12.51564456
0,0,-12.51564456
12.51564456,0,-12.51564456
0,12.51564456,-12.51564456
0,12.51564456,-12.51564456
0,0,-12.51564456
12.51564456,0,-12.51564456
0,0,-12.51564456
0,0,-12.51564456
0,0,-12.51564456
0,0,-25.03128911
0,0,-25.03128911
0,0,-25.03128911
0,0,-12.51564456
0,0,-12.51564456
0,0,-12.51564456
0,0,-12.51564456
0,0,-12.51564456
0,0,-25.03128911
0,0,-25.03128911
0,0,-25.03128911
0,-12.51564456,-12.51564456
0,-12.51564456,-12.51564456
0,0,-12.51564456
12.51564456,0,-12.51564456
0,0,-12.51564456
0,0,-12.51564456
12.51564456,0,-12.51564456
0,0,-12.51564456
0,0,-12.51564456
0,0,-12.51564456
0,0,0
0,0,0
0,0,0
0,12.51564456,0
-12.51564456,12.51564456,0
0,0,0
0,12.51564456,12.51564456
-12.51564456,12.51564456,25.03128911
-12.51564456,12.51564456,50.06257822
0,37.54693367,62.57822278
0,50.06257822,62.57822278
0,62.57822278,75.09386733
0,75.09386733,75.09386733
0,87.60951189,62.57822278
0,100.1251564,62.57822278
0,100.1251564,62.57822278
0,112.640801,62.57822278
12.51564456,112.640801,50.06257822
12.51564456,100.1251564,37.54693367
25.03128911,100.1251564,37.54693367
25.03128911,100.1251564,25.03128911
25.03128911,87.60951189,25.03128911
